fecha,producto_id,descripcion,categoria,marca,cantidad_comprada,costo_unitario
2026-02-03,PROD015,Aceite 20W-50 Mineral (Litro),Lubricantes,Inca_Oil,500,4.56
2026-03-04,PROD015,Aceite 20W-50 Mineral (Litro),Lubricantes,Inca_Oil,1000,4.68
2026-04-10,PROD015,Aceite 20W-50 Mineral (Litro),Lubricantes,Inca_Oil,250,4.75
2026-05-06,PROD015,Aceite 20W-50 Mineral (Litro),Lubricantes,Inca_Oil,1000,4.82
2026-06-03,PROD015,Aceite 20W-50 Mineral (Litro),Lubricantes,Inca_Oil,250,4.96
2026-01-04,PROD016,Aceite 20W-50 Mineral (Litro),Lubricantes,Castrol,500,5.4
2026-02-06,PROD016,Aceite 20W-50 Mineral (Litro),Lubricantes,Castrol,1000,6.2
2026-03-08,PROD016,Aceite 20W-50 Mineral (Litro),Lubricantes,Castrol,1000,7.09
2026-04-03,PROD016,Aceite 20W-50 Mineral (Litro),Lubricantes,Castrol,250,7.83
2026-05-02,PROD016,Aceite 20W-50 Mineral (Litro),Lubricantes,Castrol,250,8.56
2026-06-03,PROD016,Aceite 20W-50 Mineral (Litro),Lubricantes,Castrol,250,9.59
2026-01-02,PROD017,Pastillas de Freno Delanteras NQR,Frenos,Wagner,200,26.0
2026-02-05,PROD017,Pastillas de Freno Delanteras NQR,Frenos,Wagner,1000,26.94
2026-03-11,PROD017,Pastillas de Freno Delanteras NQR,Frenos,Wagner,100,27.98
2026-04-02,PROD017,Pastillas de Freno Delanteras NQR,Frenos,Wagner,500,28.73
2026-05-04,PROD017,Pastillas de Freno Delanteras NQR,Frenos,Wagner,1000,29.86
2026-06-05,PROD017,Pastillas de Freno Delanteras NQR,Frenos,Wagner,100,30.33
2026-01-04,PROD018,Pastillas de Freno Delanteras NQR,Frenos,Isuzu,100,22.33
2026-02-06,PROD018,Pastillas de Freno Delanteras NQR,Frenos,Isuzu,1000,23.02
2026-03-10,PROD018,Pastillas de Freno Delanteras NQR,Frenos,Isuzu,500,23.4
2026-04-07,PROD018,Pastillas de Freno Delanteras NQR,Frenos,Isuzu,500,23.88
2026-05-03,PROD018,Pastillas de Freno Delanteras NQR,Frenos,Isuzu,1000,24.35
2026-06-01,PROD018,Pastillas de Freno Delanteras NQR,Frenos,Isuzu,200,24.69
2026-01-08,PROD019,Pastillas de Freno Delanteras NQR,Frenos,Raybestos,500,24.45
2026-02-03,PROD019,Pastillas de Freno Delanteras NQR,Frenos,Raybestos,1000,24.88
2026-03-09,PROD019,Pastillas de Freno Delanteras NQR,Frenos,Raybestos,100,25.51
2026-04-05,PROD019,Pastillas de Freno Delanteras NQR,Frenos,Raybestos,1000,26.26
2026-05-04,PROD019,Pastillas de Freno Delanteras NQR,Frenos,Raybestos,1000,26.79
2026-06-02,PROD019,Pastillas de Freno Delanteras NQR,Frenos,Raybestos,500,27.13
2026-01-07,PROD020,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Shell_Helix,500,49.97
2026-02-06,PROD020,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Shell_Helix,500,51.36
2026-03-03,PROD020,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Shell_Helix,500,51.93
2026-04-07,PROD020,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Shell_Helix,250,53.28
2026-05-02,PROD020,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Shell_Helix,250,55.14
2026-06-07,PROD020,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Shell_Helix,250,55.83
2026-01-05,PROD021,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Hammer,1000,42.94
2026-02-07,PROD021,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Hammer,250,43.55
2026-03-04,PROD021,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Hammer,500,44.66
2026-04-04,PROD021,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Hammer,1000,46.17
2026-05-04,PROD021,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Hammer,1000,47.24
2026-06-05,PROD021,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Hammer,500,47.97
2026-01-08,PROD022,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,PDV_Premium,250,46.03
2026-02-01,PROD022,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,PDV_Premium,250,46.73
2026-03-04,PROD022,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,PDV_Premium,500,47.53
2026-04-10,PROD022,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,PDV_Premium,250,48.95
2026-05-02,PROD022,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,PDV_Premium,1000,50.84
2026-06-05,PROD022,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,PDV_Premium,1000,52.28
2026-01-04,PROD023,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Inca_Oil,1000,47.19
2026-02-05,PROD023,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Inca_Oil,250,51.36
2026-03-07,PROD023,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Inca_Oil,500,55.8
2026-04-05,PROD023,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Inca_Oil,500,60.95
2026-05-06,PROD023,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Inca_Oil,250,67.85
2026-06-05,PROD023,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Inca_Oil,500,75.17
2026-01-07,PROD024,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Castrol,500,49.39
2026-02-04,PROD024,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Castrol,500,50.44
2026-03-05,PROD024,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Castrol,250,51.71
2026-04-09,PROD024,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Castrol,1000,53.25
2026-05-03,PROD024,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Castrol,1000,53.82
2026-06-04,PROD024,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Castrol,500,55.29
2026-01-04,PROD025,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Valvoline,250,56.25
2026-02-03,PROD025,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Valvoline,1000,63.98
2026-03-03,PROD025,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Valvoline,500,73.41
2026-04-03,PROD025,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Valvoline,500,79.48
2026-05-04,PROD025,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Valvoline,500,87.71
2026-06-08,PROD025,Aceite 15W-40 Diesel (Balde 5 Gal),Lubricantes,Valvoline,500,97.09
