factura,fecha,vendedor,producto_id,cantidad_vendida,precio_unitario,costo_asociado_simulado
FAC-1041,2026-01-01,Vendedor_A,PROD013,23,5.56,4.2
FAC-1042,2026-01-01,Vendedor_A,PROD001,1,19.6,14.0
FAC-1043,2026-01-01,Vendedor_A,PROD011,3,9.72,7.0
FAC-1044,2026-01-02,Vendedor_A,PROD017,3,37.07,26.0
FAC-1045,2026-01-02,Vendedor_A,PROD001,4,19.6,14.0
FAC-1046,2026-01-02,Vendedor_B,PROD017,3,35.88,26.0
FAC-1047,2026-01-02,Vendedor_B,PROD021,11,58.29,42.0
FAC-1048,2026-01-02,Vendedor_A,PROD010,1,8.14,6.0
FAC-1049,2026-01-02,Vendedor_A,PROD014,5,6.02,4.5
FAC-1050,2026-01-02,Vendedor_B,PROD001,2,19.6,14.0
FAC-1051,2026-01-02,Vendedor_A,PROD008,3,10.64,8.16
FAC-1052,2026-01-02,Vendedor_B,PROD018,5,31.41,22.0
FAC-1053,2026-01-02,Vendedor_A,PROD025,16,69.42,50.0
FAC-1054,2026-01-02,Vendedor_B,PROD005,3,25.07,18.0
FAC-1055,2026-01-02,Vendedor_A,PROD007,4,25.9,18.5
FAC-1056,2026-01-02,Vendedor_A,PROD002,2,18.2,13.0
FAC-1057,2026-01-02,Vendedor_A,PROD018,2,29.89,22.0
FAC-1058,2026-01-02,Vendedor_B,PROD020,2,68.6,49.0
FAC-1059,2026-01-02,Vendedor_A,PROD024,11,68.96,48.0
FAC-1060,2026-01-02,Vendedor_B,PROD019,2,33.71,24.0
FAC-1061,2026-01-02,Vendedor_B,PROD024,21,68.46,48.0
FAC-1062,2026-01-02,Vendedor_B,PROD024,3,62.73,48.0
FAC-1063,2026-01-02,Vendedor_B,PROD013,12,5.59,4.2
FAC-1064,2026-01-02,Vendedor_A,PROD019,3,33.13,24.0
FAC-1065,2026-01-02,Vendedor_A,PROD022,5,63.21,45.0
FAC-1066,2026-01-02,Vendedor_C,PROD024,19,65.36,48.0
FAC-1067,2026-01-02,Vendedor_A,PROD019,4,31.35,24.0
FAC-1068,2026-01-02,Vendedor_A,PROD010,1,7.96,6.0
FAC-1069,2026-01-02,Vendedor_A,PROD005,2,24.64,18.0
FAC-1070,2026-01-02,Vendedor_B,PROD017,1,35.76,26.0
FAC-1071,2026-01-02,Vendedor_B,PROD025,12,68.61,50.0
FAC-1072,2026-01-02,Vendedor_A,PROD016,5,6.72,4.8
FAC-1073,2026-01-02,Vendedor_A,PROD001,3,19.6,14.0
FAC-1074,2026-01-02,Vendedor_A,PROD020,23,68.6,49.0
FAC-1075,2026-01-02,Vendedor_A,PROD014,3,6.27,4.5
FAC-1076,2026-01-02,Vendedor_A,PROD013,20,5.5,4.2
FAC-1077,2026-01-02,Vendedor_B,PROD007,3,25.9,18.5
FAC-1078,2026-01-02,Vendedor_C,PROD015,7,5.61,4.3
FAC-1079,2026-01-02,Vendedor_A,PROD003,5,16.99,12.5
FAC-1080,2026-01-02,Vendedor_C,PROD010,2,8.31,6.0
FAC-1081,2026-01-02,Vendedor_A,PROD012,5,6.76,5.06
FAC-1082,2026-01-02,Vendedor_A,PROD010,4,8.51,6.0
FAC-1083,2026-01-02,Vendedor_B,PROD015,9,6.07,4.3
FAC-1084,2026-01-02,Vendedor_A,PROD017,5,36.0,26.0
FAC-1085,2026-01-02,Vendedor_B,PROD006,3,28.12,19.6
FAC-1086,2026-01-02,Vendedor_A,PROD024,2,65.99,48.0
FAC-1087,2026-01-02,Vendedor_A,PROD021,17,55.24,42.0
FAC-1088,2026-01-02,Vendedor_A,PROD004,1,17.13,12.0
FAC-1089,2026-01-03,Vendedor_A,PROD003,4,17.23,12.5
FAC-1090,2026-01-03,Vendedor_A,PROD024,12,63.21,48.0
FAC-1091,2026-01-03,Vendedor_C,PROD004,3,16.08,12.36
FAC-1092,2026-01-03,Vendedor_B,PROD025,20,70.39,50.0
FAC-1093,2026-01-03,Vendedor_A,PROD013,23,5.94,4.2
FAC-1094,2026-01-03,Vendedor_B,PROD004,1,16.86,12.36
FAC-1095,2026-01-03,Vendedor_B,PROD012,7,6.67,5.06
FAC-1096,2026-01-03,Vendedor_C,PROD005,5,27.68,20.12
FAC-1097,2026-01-03,Vendedor_A,PROD011,2,11.17,8.04
FAC-1098,2026-01-03,Vendedor_C,PROD005,5,26.35,20.12
FAC-1099,2026-01-03,Vendedor_A,PROD008,5,11.6,8.16
FAC-1100,2026-01-03,Vendedor_B,PROD009,3,9.19,6.5
FAC-1101,2026-01-03,Vendedor_B,PROD017,2,37.12,26.0
FAC-1102,2026-01-03,Vendedor_C,PROD014,3,6.48,4.5
FAC-1103,2026-01-03,Vendedor_C,PROD012,23,6.87,5.06
FAC-1104,2026-01-03,Vendedor_B,PROD008,4,11.62,8.16
FAC-1105,2026-01-03,Vendedor_C,PROD003,3,16.56,12.5
FAC-1106,2026-01-03,Vendedor_A,PROD014,14,6.2,4.5
FAC-1107,2026-01-03,Vendedor_C,PROD010,3,8.15,6.0
FAC-1108,2026-01-03,Vendedor_A,PROD006,1,27.07,19.6
FAC-1109,2026-01-03,Vendedor_A,PROD025,3,67.67,50.0
FAC-1110,2026-01-03,Vendedor_A,PROD014,8,5.89,4.5
FAC-1111,2026-01-03,Vendedor_A,PROD019,3,32.75,24.0
FAC-1112,2026-01-03,Vendedor_A,PROD008,5,11.46,8.16
FAC-1113,2026-01-03,Vendedor_B,PROD001,3,19.6,14.0
FAC-1114,2026-01-03,Vendedor_B,PROD004,5,17.92,12.36
FAC-1115,2026-01-03,Vendedor_A,PROD005,4,28.51,20.12
FAC-1116,2026-01-03,Vendedor_A,PROD022,11,63.32,45.0
FAC-1117,2026-01-03,Vendedor_A,PROD001,5,19.6,14.0
FAC-1118,2026-01-03,Vendedor_A,PROD015,16,6.14,4.3
FAC-1119,2026-01-03,Vendedor_A,PROD008,4,10.79,8.16
FAC-1120,2026-01-03,Vendedor_B,PROD013,20,5.91,4.2
FAC-1121,2026-01-03,Vendedor_A,PROD004,5,17.07,12.36
FAC-1122,2026-01-03,Vendedor_A,PROD020,11,68.6,49.0
FAC-1123,2026-01-03,Vendedor_A,PROD008,2,11.32,8.16
FAC-1124,2026-01-03,Vendedor_C,PROD014,9,6.27,4.5
FAC-1125,2026-01-03,Vendedor_A,PROD018,4,30.62,22.0
FAC-1126,2026-01-03,Vendedor_B,PROD011,4,11.58,8.04
FAC-1127,2026-01-03,Vendedor_B,PROD005,2,28.94,20.12
FAC-1128,2026-01-03,Vendedor_B,PROD017,3,36.05,26.0
FAC-1129,2026-01-03,Vendedor_C,PROD014,2,6.48,4.5
FAC-1130,2026-01-04,Vendedor_C,PROD005,1,29.13,20.12
FAC-1131,2026-01-04,Vendedor_C,PROD001,5,12.6,14.0
FAC-1132,2026-01-04,Vendedor_A,PROD015,21,5.74,4.39
FAC-1133,2026-01-04,Vendedor_A,PROD025,21,73.16,56.25
FAC-1134,2026-01-04,Vendedor_C,PROD025,3,50.62,56.25
FAC-1135,2026-01-04,Vendedor_A,PROD017,3,36.09,26.0
FAC-1136,2026-01-04,Vendedor_B,PROD019,4,32.09,24.0
FAC-1137,2026-01-04,Vendedor_A,PROD006,5,25.58,19.6
FAC-1138,2026-01-04,Vendedor_A,PROD011,5,11.21,8.04
FAC-1139,2026-01-04,Vendedor_C,PROD017,1,34.49,26.0
FAC-1140,2026-01-04,Vendedor_A,PROD020,9,68.6,49.0
FAC-1141,2026-01-04,Vendedor_A,PROD017,3,34.97,26.0
FAC-1142,2026-01-04,Vendedor_A,PROD024,18,68.87,48.0
FAC-1143,2026-01-04,Vendedor_C,PROD013,20,5.7,4.2
FAC-1144,2026-01-04,Vendedor_B,PROD018,2,30.01,22.33
FAC-1145,2026-01-04,Vendedor_B,PROD002,1,18.2,13.0
FAC-1146,2026-01-04,Vendedor_B,PROD018,4,30.69,22.33
FAC-1147,2026-01-04,Vendedor_A,PROD001,3,19.6,14.0
FAC-1148,2026-01-04,Vendedor_B,PROD010,4,8.19,6.11
FAC-1149,2026-01-04,Vendedor_A,PROD001,4,19.6,14.0
FAC-1150,2026-01-04,Vendedor_A,PROD018,1,31.93,22.33
FAC-1151,2026-01-04,Vendedor_A,PROD023,9,63.14,47.19
FAC-1152,2026-01-04,Vendedor_B,PROD022,20,60.79,45.0
FAC-1153,2026-01-04,Vendedor_B,PROD001,2,19.6,14.0
FAC-1154,2026-01-04,Vendedor_B,PROD003,3,16.71,12.5
FAC-1155,2026-01-04,Vendedor_A,PROD016,6,6.72,5.4
FAC-1156,2026-01-04,Vendedor_A,PROD022,17,59.88,45.0
FAC-1157,2026-01-04,Vendedor_A,PROD018,5,29.07,22.33
FAC-1158,2026-01-04,Vendedor_C,PROD019,5,31.64,24.0
FAC-1159,2026-01-04,Vendedor_C,PROD018,4,32.02,22.33
FAC-1160,2026-01-04,Vendedor_A,PROD011,4,10.76,8.04
FAC-1161,2026-01-04,Vendedor_B,PROD020,7,68.6,49.0
FAC-1162,2026-01-04,Vendedor_A,PROD009,4,8.88,6.5
FAC-1163,2026-01-04,Vendedor_A,PROD022,15,63.76,45.0
FAC-1164,2026-01-04,Vendedor_A,PROD023,20,67.01,47.19
FAC-1165,2026-01-04,Vendedor_B,PROD017,5,34.85,26.0
FAC-1166,2026-01-04,Vendedor_A,PROD025,12,75.3,56.25
FAC-1167,2026-01-04,Vendedor_B,PROD014,14,6.51,4.5
FAC-1168,2026-01-04,Vendedor_A,PROD002,3,18.2,13.0
FAC-1169,2026-01-04,Vendedor_A,PROD006,4,28.17,19.6
FAC-1170,2026-01-04,Vendedor_B,PROD009,1,8.72,6.5
FAC-1171,2026-01-04,Vendedor_A,PROD006,2,27.92,19.6
FAC-1172,2026-01-04,Vendedor_C,PROD022,7,59.42,45.0
FAC-1173,2026-01-04,Vendedor_B,PROD008,5,10.91,8.16
FAC-1174,2026-01-04,Vendedor_B,PROD007,1,25.9,20.75
FAC-1175,2026-01-04,Vendedor_B,PROD021,3,57.01,42.0
FAC-1176,2026-01-04,Vendedor_A,PROD022,5,63.48,45.0
FAC-1177,2026-01-04,Vendedor_A,PROD019,3,32.08,24.0
FAC-1178,2026-01-05,Vendedor_B,PROD017,2,36.61,26.0
FAC-1179,2026-01-05,Vendedor_C,PROD023,6,66.04,47.19
FAC-1180,2026-01-05,Vendedor_A,PROD024,21,63.95,48.0
FAC-1181,2026-01-05,Vendedor_A,PROD019,3,33.34,24.0
FAC-1182,2026-01-05,Vendedor_B,PROD013,3,5.77,4.36
FAC-1183,2026-01-05,Vendedor_A,PROD021,2,58.04,42.94
FAC-1184,2026-01-05,Vendedor_B,PROD025,8,79.07,56.25
FAC-1185,2026-01-05,Vendedor_B,PROD003,4,17.79,12.5
FAC-1186,2026-01-05,Vendedor_B,PROD019,3,32.18,24.0
FAC-1187,2026-01-05,Vendedor_C,PROD005,5,26.43,20.12
FAC-1188,2026-01-05,Vendedor_A,PROD017,4,37.51,26.0
FAC-1189,2026-01-05,Vendedor_C,PROD016,9,6.72,5.4
FAC-1190,2026-01-05,Vendedor_B,PROD021,17,60.71,42.94
FAC-1191,2026-01-05,Vendedor_C,PROD006,4,28.36,19.6
FAC-1192,2026-01-05,Vendedor_A,PROD015,16,6.16,4.39
FAC-1193,2026-01-05,Vendedor_C,PROD010,2,8.48,6.11
FAC-1194,2026-01-05,Vendedor_A,PROD021,16,58.87,42.94
FAC-1195,2026-01-05,Vendedor_A,PROD021,9,60.53,42.94
FAC-1196,2026-01-05,Vendedor_B,PROD018,4,30.44,22.33
FAC-1197,2026-01-05,Vendedor_A,PROD007,3,25.9,20.75
FAC-1198,2026-01-05,Vendedor_B,PROD010,3,8.53,6.11
FAC-1199,2026-01-05,Vendedor_A,PROD012,6,6.67,5.06
FAC-1200,2026-01-05,Vendedor_B,PROD011,4,10.86,8.04
FAC-1201,2026-01-05,Vendedor_A,PROD007,1,25.9,20.75
FAC-1202,2026-01-05,Vendedor_A,PROD004,2,17.53,12.36
FAC-1203,2026-01-05,Vendedor_C,PROD001,2,12.6,14.0
FAC-1204,2026-01-05,Vendedor_C,PROD023,14,64.62,47.19
FAC-1205,2026-01-05,Vendedor_C,PROD013,8,5.92,4.36
FAC-1206,2026-01-05,Vendedor_B,PROD014,22,6.09,4.5
FAC-1207,2026-01-05,Vendedor_C,PROD012,16,7.05,5.06
FAC-1208,2026-01-05,Vendedor_A,PROD025,8,79.61,56.25
FAC-1209,2026-01-05,Vendedor_B,PROD020,18,68.6,49.0
FAC-1210,2026-01-05,Vendedor_A,PROD003,2,17.13,12.5
FAC-1211,2026-01-05,Vendedor_B,PROD004,1,17.39,12.36
FAC-1212,2026-01-05,Vendedor_A,PROD021,18,62.18,42.94
FAC-1213,2026-01-05,Vendedor_A,PROD025,6,78.86,56.25
FAC-1214,2026-01-05,Vendedor_A,PROD005,3,26.43,20.12
FAC-1215,2026-01-05,Vendedor_B,PROD013,5,6.31,4.36
FAC-1216,2026-01-06,Vendedor_B,PROD008,5,11.76,8.16
FAC-1217,2026-01-06,Vendedor_A,PROD019,2,33.05,24.0
FAC-1218,2026-01-06,Vendedor_A,PROD025,4,74.99,56.25
FAC-1219,2026-01-06,Vendedor_A,PROD024,16,64.92,48.0
FAC-1220,2026-01-06,Vendedor_C,PROD023,18,67.6,47.19
FAC-1221,2026-01-06,Vendedor_A,PROD010,1,8.42,6.11
FAC-1222,2026-01-06,Vendedor_A,PROD024,14,68.86,48.0
FAC-1223,2026-01-06,Vendedor_A,PROD024,5,67.78,48.0
FAC-1224,2026-01-06,Vendedor_A,PROD014,4,6.67,4.67
FAC-1225,2026-01-06,Vendedor_C,PROD009,2,8.81,6.74
FAC-1226,2026-01-06,Vendedor_C,PROD009,3,9.09,6.74
FAC-1227,2026-01-06,Vendedor_A,PROD002,3,18.2,13.0
FAC-1228,2026-01-06,Vendedor_B,PROD005,5,26.3,20.12
FAC-1229,2026-01-06,Vendedor_B,PROD016,6,6.72,5.4
FAC-1230,2026-01-06,Vendedor_A,PROD013,20,6.22,4.36
FAC-1231,2026-01-06,Vendedor_B,PROD003,3,16.9,12.5
FAC-1232,2026-01-06,Vendedor_C,PROD013,20,5.84,4.36
FAC-1233,2026-01-06,Vendedor_B,PROD016,2,6.72,5.4
FAC-1234,2026-01-06,Vendedor_B,PROD016,12,6.72,5.4
FAC-1235,2026-01-06,Vendedor_B,PROD013,7,6.12,4.36
FAC-1236,2026-01-06,Vendedor_C,PROD007,5,25.9,20.75
FAC-1237,2026-01-06,Vendedor_C,PROD025,12,73.37,56.25
FAC-1238,2026-01-06,Vendedor_A,PROD021,5,60.61,42.94
FAC-1239,2026-01-06,Vendedor_C,PROD002,5,18.2,13.0
FAC-1240,2026-01-06,Vendedor_A,PROD012,15,6.58,5.06
FAC-1241,2026-01-06,Vendedor_A,PROD017,2,35.98,26.0
FAC-1242,2026-01-06,Vendedor_A,PROD024,20,68.29,48.0
FAC-1243,2026-01-06,Vendedor_B,PROD007,2,25.9,20.75
FAC-1244,2026-01-06,Vendedor_A,PROD015,5,6.32,4.39
FAC-1245,2026-01-06,Vendedor_B,PROD020,19,68.6,49.0
FAC-1246,2026-01-06,Vendedor_B,PROD004,1,16.63,12.36
FAC-1247,2026-01-06,Vendedor_A,PROD010,3,8.38,6.11
FAC-1248,2026-01-06,Vendedor_C,PROD018,5,31.95,22.33
FAC-1249,2026-01-06,Vendedor_A,PROD012,13,7.15,5.06
FAC-1250,2026-01-06,Vendedor_A,PROD007,1,25.9,20.75
FAC-1251,2026-01-06,Vendedor_C,PROD006,3,26.57,19.6
FAC-1252,2026-01-06,Vendedor_A,PROD023,5,64.5,47.19
FAC-1253,2026-01-06,Vendedor_C,PROD017,5,34.2,26.0
FAC-1254,2026-01-06,Vendedor_A,PROD011,4,10.72,8.04
FAC-1255,2026-01-06,Vendedor_C,PROD022,13,59.39,45.0
FAC-1256,2026-01-06,Vendedor_C,PROD024,17,65.51,48.0
FAC-1257,2026-01-06,Vendedor_A,PROD005,1,28.08,20.12
FAC-1258,2026-01-06,Vendedor_A,PROD005,4,29.13,20.12
FAC-1259,2026-01-06,Vendedor_A,PROD006,1,26.16,19.6
FAC-1260,2026-01-06,Vendedor_B,PROD025,13,79.16,56.25
FAC-1261,2026-01-07,Vendedor_A,PROD008,5,10.8,8.16
FAC-1262,2026-01-07,Vendedor_A,PROD021,19,56.81,42.94
FAC-1263,2026-01-07,Vendedor_A,PROD020,13,68.6,49.97
FAC-1264,2026-01-07,Vendedor_C,PROD021,21,61.7,42.94
FAC-1265,2026-01-07,Vendedor_A,PROD014,8,6.39,4.67
FAC-1266,2026-01-07,Vendedor_A,PROD017,1,36.17,26.0
FAC-1267,2026-01-07,Vendedor_A,PROD006,5,26.14,19.6
FAC-1268,2026-01-07,Vendedor_A,PROD021,14,59.62,42.94
FAC-1269,2026-01-07,Vendedor_A,PROD017,2,33.85,26.0
FAC-1270,2026-01-07,Vendedor_B,PROD014,12,6.75,4.67
FAC-1271,2026-01-07,Vendedor_C,PROD013,10,6.16,4.36
FAC-1272,2026-01-07,Vendedor_B,PROD008,1,11.49,8.16
FAC-1273,2026-01-07,Vendedor_B,PROD017,4,34.2,26.0
FAC-1274,2026-01-07,Vendedor_A,PROD020,9,68.6,49.97
FAC-1275,2026-01-07,Vendedor_B,PROD018,1,30.12,22.33
FAC-1276,2026-01-07,Vendedor_A,PROD009,4,9.12,6.74
FAC-1277,2026-01-07,Vendedor_C,PROD022,15,60.67,45.0
FAC-1278,2026-01-07,Vendedor_A,PROD018,4,31.78,22.33
FAC-1279,2026-01-07,Vendedor_A,PROD017,3,37.51,26.0
FAC-1280,2026-01-07,Vendedor_B,PROD006,1,27.23,19.6
FAC-1281,2026-01-07,Vendedor_C,PROD018,4,32.16,22.33
FAC-1282,2026-01-07,Vendedor_A,PROD020,8,68.6,49.97
FAC-1283,2026-01-07,Vendedor_B,PROD011,2,11.53,8.04
FAC-1284,2026-01-07,Vendedor_B,PROD022,10,61.55,45.0
FAC-1285,2026-01-07,Vendedor_B,PROD010,4,8.34,6.11
FAC-1286,2026-01-07,Vendedor_A,PROD023,20,65.95,47.19
FAC-1287,2026-01-07,Vendedor_A,PROD019,5,34.71,24.0
FAC-1288,2026-01-07,Vendedor_A,PROD023,13,64.42,47.19
FAC-1289,2026-01-07,Vendedor_B,PROD018,5,29.1,22.33
FAC-1290,2026-01-07,Vendedor_B,PROD024,11,71.43,49.39
FAC-1291,2026-01-07,Vendedor_A,PROD019,1,33.65,24.0
FAC-1292,2026-01-07,Vendedor_A,PROD007,5,25.9,20.75
FAC-1293,2026-01-07,Vendedor_A,PROD024,13,67.36,49.39
FAC-1294,2026-01-07,Vendedor_B,PROD020,19,68.6,49.97
FAC-1295,2026-01-07,Vendedor_B,PROD017,2,35.8,26.0
FAC-1296,2026-01-07,Vendedor_B,PROD021,16,58.37,42.94
FAC-1297,2026-01-07,Vendedor_B,PROD002,2,18.2,14.04
FAC-1298,2026-01-07,Vendedor_C,PROD019,4,33.33,24.0
FAC-1299,2026-01-07,Vendedor_B,PROD003,1,17.42,12.5
FAC-1300,2026-01-07,Vendedor_A,PROD003,2,17.71,12.5
FAC-1301,2026-01-07,Vendedor_B,PROD012,6,6.86,5.06
FAC-1302,2026-01-07,Vendedor_A,PROD005,4,26.36,20.12
FAC-1303,2026-01-07,Vendedor_B,PROD015,21,6.1,4.39
FAC-1304,2026-01-07,Vendedor_A,PROD002,1,18.2,14.04
FAC-1305,2026-01-07,Vendedor_A,PROD025,6,81.3,56.25
FAC-1306,2026-01-08,Vendedor_B,PROD001,4,19.6,14.47
FAC-1307,2026-01-08,Vendedor_A,PROD013,11,5.82,4.36
FAC-1308,2026-01-08,Vendedor_A,PROD003,5,17.34,12.69
FAC-1309,2026-01-08,Vendedor_A,PROD010,5,8.56,6.11
FAC-1310,2026-01-08,Vendedor_B,PROD020,13,68.6,49.97
FAC-1311,2026-01-08,Vendedor_A,PROD001,4,19.6,14.47
FAC-1312,2026-01-08,Vendedor_A,PROD025,13,78.23,56.25
FAC-1313,2026-01-08,Vendedor_B,PROD005,4,28.52,20.12
FAC-1314,2026-01-08,Vendedor_A,PROD015,21,6.28,4.39
FAC-1315,2026-01-08,Vendedor_A,PROD018,5,32.33,22.33
FAC-1316,2026-01-08,Vendedor_A,PROD020,2,68.6,49.97
FAC-1317,2026-01-08,Vendedor_A,PROD023,6,62.94,47.19
FAC-1318,2026-01-08,Vendedor_B,PROD001,4,19.6,14.47
FAC-1319,2026-01-08,Vendedor_A,PROD010,3,8.31,6.11
FAC-1320,2026-01-08,Vendedor_A,PROD011,5,10.47,8.04
FAC-1321,2026-01-08,Vendedor_A,PROD025,12,78.02,56.25
FAC-1322,2026-01-08,Vendedor_B,PROD018,5,30.18,22.33
FAC-1323,2026-01-08,Vendedor_B,PROD020,11,68.6,49.97
FAC-1324,2026-01-08,Vendedor_A,PROD023,9,62.5,47.19
FAC-1325,2026-01-08,Vendedor_A,PROD006,2,28.03,19.6
FAC-1326,2026-01-08,Vendedor_C,PROD001,2,13.02,14.47
FAC-1327,2026-01-08,Vendedor_C,PROD018,1,29.85,22.33
FAC-1328,2026-01-08,Vendedor_B,PROD012,5,6.66,5.06
FAC-1329,2026-01-08,Vendedor_B,PROD001,5,19.6,14.47
FAC-1330,2026-01-08,Vendedor_B,PROD016,3,6.72,5.4
FAC-1331,2026-01-08,Vendedor_A,PROD018,1,31.06,22.33
FAC-1332,2026-01-08,Vendedor_B,PROD009,5,9.77,6.74
FAC-1333,2026-01-08,Vendedor_A,PROD013,3,5.86,4.36
FAC-1334,2026-01-08,Vendedor_B,PROD006,2,26.44,19.6
FAC-1335,2026-01-08,Vendedor_A,PROD018,5,31.97,22.33
FAC-1336,2026-01-08,Vendedor_A,PROD011,1,10.91,8.04
FAC-1337,2026-01-08,Vendedor_A,PROD021,8,57.91,42.94
FAC-1338,2026-01-08,Vendedor_A,PROD015,2,6.16,4.39
FAC-1339,2026-01-08,Vendedor_A,PROD017,2,35.93,26.0
FAC-1340,2026-01-08,Vendedor_B,PROD011,2,11.18,8.04
FAC-1341,2026-01-08,Vendedor_A,PROD002,3,18.2,14.04
FAC-1342,2026-01-08,Vendedor_B,PROD021,7,61.38,42.94
FAC-1343,2026-01-08,Vendedor_A,PROD021,6,61.06,42.94
FAC-1344,2026-01-08,Vendedor_B,PROD002,4,18.2,14.04
FAC-1345,2026-01-09,Vendedor_B,PROD015,15,5.97,4.39
FAC-1346,2026-01-09,Vendedor_B,PROD018,5,31.43,22.33
FAC-1347,2026-01-09,Vendedor_C,PROD023,22,64.4,47.19
FAC-1348,2026-01-09,Vendedor_C,PROD015,16,5.87,4.39
FAC-1349,2026-01-09,Vendedor_A,PROD004,2,17.8,12.36
FAC-1350,2026-01-09,Vendedor_A,PROD014,21,6.41,4.67
FAC-1351,2026-01-09,Vendedor_C,PROD014,4,6.29,4.67
FAC-1352,2026-01-09,Vendedor_B,PROD008,2,10.99,8.16
FAC-1353,2026-01-09,Vendedor_A,PROD002,4,18.2,14.04
FAC-1354,2026-01-09,Vendedor_A,PROD025,13,77.53,56.25
FAC-1355,2026-01-09,Vendedor_A,PROD010,1,8.68,6.11
FAC-1356,2026-01-09,Vendedor_C,PROD010,4,8.11,6.11
FAC-1357,2026-01-09,Vendedor_C,PROD004,4,16.23,12.36
FAC-1358,2026-01-09,Vendedor_A,PROD024,14,68.11,49.39
FAC-1359,2026-01-09,Vendedor_B,PROD023,10,65.86,47.19
FAC-1360,2026-01-09,Vendedor_A,PROD009,1,9.42,6.74
FAC-1361,2026-01-09,Vendedor_A,PROD010,2,8.77,6.11
FAC-1362,2026-01-09,Vendedor_B,PROD005,4,27.07,20.12
FAC-1363,2026-01-09,Vendedor_B,PROD007,2,25.9,20.75
FAC-1364,2026-01-09,Vendedor_A,PROD019,2,34.07,24.45
FAC-1365,2026-01-09,Vendedor_B,PROD005,2,26.66,20.12
FAC-1366,2026-01-09,Vendedor_A,PROD001,1,19.6,14.47
FAC-1367,2026-01-09,Vendedor_B,PROD022,8,60.0,46.03
FAC-1368,2026-01-09,Vendedor_A,PROD011,5,10.73,8.04
FAC-1369,2026-01-09,Vendedor_C,PROD025,22,77.32,56.25
FAC-1370,2026-01-09,Vendedor_A,PROD018,1,30.38,22.33
FAC-1371,2026-01-09,Vendedor_A,PROD017,3,33.86,26.0
FAC-1372,2026-01-09,Vendedor_B,PROD004,5,17.41,12.36
FAC-1373,2026-01-09,Vendedor_B,PROD014,5,6.26,4.67
FAC-1374,2026-01-09,Vendedor_A,PROD003,1,17.26,12.69
FAC-1375,2026-01-09,Vendedor_A,PROD007,1,25.9,20.75
